Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000146654.2,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSMUST00000146489.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000177423.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000172980.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000212642.2,736.818,267.932,1177.721,1109.316,371.376,566.538,727.153,895.106,589.374,0.0,395.727
ENSMUST00000204761.3,0.0,0.0,0.0,0.0,147.455,87.702,163.578,0.0,0.0,0.0,15.525
ENSMUST00000191680.2,0.0,0.0,52.354,0.0,18.571,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000109367.10,13136.973,9666.605,16794.426,10567.487,12167.116,4575.169,15764.538,6633.337,6503.61,2762.045,4935.772
ENSMUST00000191591.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000127039.8,3.21,0.0,0.0,6.335,1.393,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000156075.2,221.425,75.801,214.016,108.827,78.564,84.823,167.01,147.686,0.0,34.433,72.326
ENSMUST00000138537.3,6.33,0.0,2.115,1.983,5.746,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000225004.2,0.0,0.0,1.033,4.388,2.323,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000215084.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000228763.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000143971.2,3722.389,1958.155,4553.076,3577.754,2292.882,1838.152,3409.226,2746.712,1597.379,662.466,1912.725
ENSMUST00000183834.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000153096.2,29.069,32.741,60.417,30.789,19.319,14.998,37.022,2.13,16.532,14.576,17.079
ENSMUST00000176364.8,0.0,0.0,0.0,110.223,301.475,0.0,0.0,62.953,115.73,0.0,89.734
ENSMUST00000111098.8,383.121,74.599,245.26,866.985,549.274,70.314,326.071,244.827,136.325,59.664,227.5
ENSMUST00000140753.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000225984.2,1.0,7.0,21.0,8.0,9.0,20.0,11.0,8.0,1.0,10.0,7.0
